K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
Algoma University ,2013,92.39 ,90.91 ,95.52 ,100.00 , , ,97.67 ,91.67 ,93.17 , ,90.48 , ,93.06 , ,100.00 , , , ,96.36 ,75.00 , ,88.89 ,95.24 , , ,98.04 ,94.01 ,86.02 ,71.43 ,88.44 ,100.00 , , ,94.87 ,89.47 ,87.03 , ,86.96 , ,93.24 , ,66.67 , , , ,92.45 ,100.00 , ,100.00 ,88.65 , , ,100.00 ,88.82
 ,2008, , , , , , , , , , , , , , , , , , , ,32.00 ,16.00 ,15.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Brock University ,2021,87.50 ,,98.91 ,100.00 ,,98.47 ,,93.75 , ,,94.32 ,,97.52 ,,100.00 , ,100.00 ,,100.00 ,90.63 ,,100.00 ,97.51 ,, , ,97.00 ,84.62 ,,95.60 ,83.33 ,,97.66 ,,84.85 , ,,85.71 ,,93.71 ,,84.62 , ,94.44 ,,93.88 ,79.03 ,,100.00 ,93.37 ,, , ,92.00
 ,2020,95.24 , ,96.35 ,92.86 , ,99.25 , ,94.12 , , ,93.26 , ,95.31 , ,*, ,100.00 , ,100.00 ,92.19 , ,* ,95.57 , , , ,95.85 ,85.71 , ,91.85 ,50.00 , ,96.30 , ,70.59 , , ,93.59 , ,84.80 , ,*, ,97.62 , ,100.00 ,90.91 , ,* ,90.32 , , , ,90.05
 ,2019,95.83 , ,99.38 ,100.00 , ,98.90 , ,87.50 , , ,94.19 , ,97.27 , ,100.00 , ,100.00 , ,95.12 ,88.89 , ,* ,95.21 , , , ,96.37 ,92.00 , ,96.08 ,100.00 , ,100.00 , ,92.00 , , ,90.12 , ,92.59 , ,100.00 , ,97.22 , ,97.37 ,91.49 , ,* ,92.14 , , , ,94.26
 ,2018,100.00 , ,96.67 ,90.00 , ,98.46 , ,92.00 , , ,89.25 , ,93.33 , ,100.00 , ,100.00 , ,78.57 ,86.36 , ,100.00 ,92.04 , , , ,94.23 ,92.00 , ,93.30 ,90.00 , ,94.87 , ,81.82 , , ,91.57 , ,91.18 , ,87.50 , ,96.55 , ,91.67 ,91.49 , ,87.50 ,89.30 , , , ,91.92
 ,2017,82.76 , ,96.82 ,100.00 , ,99.22 , ,88.46 , , ,90.18 , ,97.47 , ,100.00 , ,100.00 , ,100.00 ,97.44 , ,91.67 ,95.81 , , , ,95.88 ,88.46 , ,92.72 ,100.00 , ,96.88 , ,73.08 , , ,92.86 , ,94.94 , ,90.91 , ,97.06 , ,100.00 ,80.95 , ,81.82 ,96.57 , , , ,93.70
 ,2016,95.45 , ,97.14 ,80.00 , ,97.78 , ,100.00 , , ,92.93 , ,94.74 , ,100.00 , ,93.33 , ,100.00 ,95.83 , ,100.00 ,95.71 , , , ,95.97 ,89.47 , ,95.04 ,83.33 , ,91.49 , ,88.00 , , ,87.06 , ,93.33 , ,85.71 , ,93.33 , ,98.28 ,82.93 , ,55.56 ,92.90 , , , ,91.62
 ,2015,83.33 , ,96.45 ,91.67 , ,95.95 , ,90.48 , , ,100.00 , ,98.26 , ,100.00 , ,100.00 , ,96.83 ,97.44 , ,100.00 ,97.75 , , , ,96.88 ,95.45 , ,93.83 ,91.67 , ,94.12 , ,88.89 , , ,95.83 , ,92.73 , ,100.00 , ,92.00 , ,93.44 ,90.32 , ,85.71 ,92.78 , , , ,93.37
 ,2014,92.59 , ,94.94 ,100.00 , ,97.92 , ,93.10 , , ,95.50 , ,97.24 , ,75.00 , ,100.00 , ,94.87 ,95.24 , ,100.00 ,96.88 , , , ,96.48 ,86.36 , ,91.03 ,84.62 , ,90.68 , ,79.17 , , ,89.58 , ,90.77 , ,100.00 , ,100.00 , ,91.67 ,65.00 , ,33.33 ,95.07 , , , ,90.82
 ,2013,83.33 , ,95.03 ,100.00 , ,96.60 , ,86.84 , , ,93.66 , ,95.86 , ,100.00 , ,100.00 , ,93.94 ,94.59 , ,87.50 ,96.09 , , , ,95.02 ,73.91 , ,88.75 ,80.00 , ,88.73 , ,80.65 , , ,91.96 , ,91.30 , ,88.89 , ,100.00 , ,91.07 ,83.78 , ,75.00 ,91.89 , , , ,89.52
 ,2012,83.33 , ,98.17 ,100.00 , ,96.18 , ,100.00 , , ,90.48 , ,96.15 , ,100.00 , ,100.00 , ,97.30 ,85.19 , ,100.00 ,92.05 , , , ,94.56 ,54.55 , ,93.69 ,100.00 , ,88.96 , ,90.00 , , ,94.38 , ,92.86 , ,100.00 , ,96.30 , ,91.67 ,78.95 , ,85.71 ,91.33 , , , ,91.09
 ,2011,93.75 , ,96.99 ,100.00 , ,94.98 , ,88.46 , , ,91.09 , ,90.27 , ,92.86 , ,95.24 , , ,90.00 , ,100.00 ,94.55 , , , ,93.80 ,73.33 , ,89.47 ,100.00 , ,89.70 , ,88.64 , , ,91.76 , ,90.82 , ,100.00 , ,95.45 , , ,95.00 , ,86.67 ,90.30 , , , ,90.20
 ,2010,94.74 , ,94.44 ,91.67 , ,95.74 , ,96.55 , , ,87.72 , ,93.81 , ,*, ,93.75 , ,93.33 ,86.67 , ,80.00 ,89.60 , , , ,92.83 ,83.33 , ,86.25 ,100.00 , ,86.51 , ,88.46 , , ,87.63 , ,86.21 , ,*, ,93.75 , ,92.86 ,100.00 , ,100.00 ,88.19 , , , ,87.73
