G. Annual Student Expenses
 , ,Domestic , , , , , , , ,International
 , ,Tuition Fees,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses,Tuition Fees ,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses
Brock University ,2023-2024, , ,14118.00 ,8830.00 ,5288.00 ,900.00 ,315.25 ,1850.82 , , ,14118.00 ,8830.00 ,5288.00 ,900.00 ,315.25 ,1850.82
 ,2022-2023,6089.40 ,1340.82 ,14127.00 ,9052.00 ,5075.00 ,900.00 , ,2140.00 ,31622.25 ,2096.82 ,14127.00 ,9052.00 ,5075.00 ,900.00 , ,2140.00
 ,2021-2022,6089.40 ,1288.84 ,13120.00 ,7870.00 ,5250.00 ,900.00 ,285.94 , ,29279.85 ,1288.84 ,13120.00 ,7870.00 ,5250.00 ,900.00 ,285.94 ,
 ,2020-2021,6089.40 ,1151.95 ,12340.00 ,7540.00 ,4800.00 ,900.00 ,136.16 , ,27885.60 ,1151.95 ,12340.00 ,7540.00 ,4800.00 ,900.00 ,136.16 ,
 ,2019-2020,6089.40 ,1095.18 ,12340.00 ,7540.00 ,4800.00 ,900.00 ,259.35 , ,26557.70 ,1095.18 ,12340.00 ,7540.00 ,4800.00 ,900.00 ,259.35 ,
 ,2017-2018,6766.00 ,934.00 ,10860.00 ,6360.00 ,4500.00 ,900.00 , , ,25293.00 ,2296.00 ,10860.00 ,6360.00 ,4500.00 ,900.00 , ,
 ,2016-2017,6377.65 ,887.54 ,10775.00 ,6450.00 ,4025.00 ,875.00 , , ,22093.90 ,887.54 ,10775.00 ,6450.00 ,4025.00 ,875.00 , ,
 ,2011-2012,5422.60 ,697.52 ,8925.00 ,5905.00 ,3600.00 ,892.50 ,168.84 , ,14425.70 ,697.52 ,8925.00 ,5905.00 ,3600.00 ,892.50 ,168.84 ,
 ,2009-2010,5189.00 ,680.00 ,8870.00 ,5697.50 ,3750.00 ,892.50 ,161.00 , ,13871.00 ,680.00 ,8870.00 ,5697.50 ,3750.00 ,892.50 ,161.00 ,
Carleton University ,2023-2024, , ,12305.00 ,9320.00 , , ,452.06 , , , ,12305.00 ,9320.00 , , ,452.06 ,
 ,2022-2023,6067.00 ,1225.07 , , , , , , ,28408.00 ,1225.07 , , , , , ,
 ,2021-2022,6067.00 ,1210.88 , , , , , , ,27056.00 ,1210.88 , , , , , ,
 ,2020-2021,6067.00 ,1194.57 , , , , , , ,26268.00 ,1194.57 , , , , , ,
 ,2019-2020,6067.00 ,1142.68 , , , , , , ,25503.00 ,1142.68 , , , , , ,
 ,2018-2019,6742.00 ,1105.01 , , , , , , ,24761.00 ,1729.01 , , , , , ,
 ,2017-2018,6742.00 ,1105.01 , , , , , , ,24761.00 ,1729.01 , , , , , ,
 ,2016-2017,6356.00 ,1072.55 , , , , , , ,23340.00 ,1684.55 , , , , , ,
 ,2011-2012,5649.00 ,990.40 , , , , , , ,17157.00 ,990.40 , , , , , ,
 ,2009-2010,5174.00 ,867.36 , , , , , , ,15270.00 ,867.36 , , , , , ,
Lakehead University ,2023-2024, , ,12946.00 ,8093.50 ,2872.00 ,2200.00 ,500.00 ,1700.00 , , ,12946.00 ,8093.50 ,2872.00 ,2200.00 ,500.00 ,1700.00
 ,2022-2023,5984.51 ,1285.89 ,12670.00 ,7946.50 ,2872.00 ,1500.00 , ,1700.00 ,27295.00 ,1294.78 ,12670.00 ,7946.50 ,2872.00 ,1500.00 , ,1700.00
 ,2021-2022,5984.51 ,1259.79 ,12915.00 ,7776.50 ,2705.00 ,1500.00 ,750.00 ,1700.00 ,26500.00 ,1259.79 ,12915.00 ,7776.50 ,2705.00 ,1500.00 ,750.00 ,1700.00
 ,2020-2021,5984.51 ,1081.07 ,12200.00 ,7667.50 ,2705.00 ,1500.00 ,750.00 ,1700.00 ,25000.00 ,1081.08 ,12200.00 ,7667.50 ,2705.00 ,1500.00 ,750.00 ,1700.00
 ,2019-2020,5984.51 ,1154.37 ,12115.77 ,7536.50 ,2640.00 ,1500.00 ,750.00 ,1700.00 ,23731.00 ,1154.37 ,12115.77 ,7536.50 ,2640.00 ,1500.00 ,750.00 ,1700.00
 ,2018-2019,6649.45 ,1002.74 ,11798.09 ,7236.95 ,2484.00 ,1200.00 ,750.00 ,1700.00 ,22601.25 ,1002.74 ,11798.09 ,7236.95 ,2484.00 ,1200.00 ,750.00 ,1700.00
 ,2017-2018,6649.45 ,1002.74 ,11798.09 ,7236.95 ,2484.00 ,1200.00 ,750.00 ,1700.00 ,22601.25 ,1002.74 ,11798.09 ,7236.95 ,2484.00 ,1200.00 ,750.00 ,1700.00
 ,2016-2017,6267.75 ,976.24 ,10651.00 ,7030.00 ,1984.50 ,1200.00 ,750.00 ,1700.00 ,20500.00 ,976.24 ,10651.00 ,7030.00 ,1984.50 ,1200.00 ,750.00 ,1700.00
 ,2011-2012,5329.00 ,889.00 ,8290.00 ,5985.00 ,1795.00 ,1000.00 ,1100.00 ,1500.00 ,14500.00 ,889.00 ,8290.00 ,5985.00 ,1795.00 ,1000.00 ,1100.00 ,1500.00
 ,2009-2010,5100.00 ,880.54 ,8047.50 ,5760.00 ,1270.00 ,1000.00 ,1100.00 ,1500.00 ,13600.00 ,880.54 ,8047.50 ,5760.00 ,1270.00 ,1000.00 ,1100.00 ,1500.00
Laurentian University ,2023-2024, , , ,7875.00 ,5420.00 ,1500.00 , , , , , ,7875.00 ,5420.00 ,1500.00 , ,756.00
 ,2022-2023,6000.30 ,1249.47 , , , , , , ,25960.00 ,1249.47 , , , , , ,
 ,2021-2022,6000.30 ,1208.03 , ,7260.00 , ,1500.00 , , ,25960.00 ,1208.03 , ,7260.00 , ,1500.00 , ,756.00
 ,2020-2021,6000.30 ,1009.76 , ,6510.00 , ,1500.00 , , ,25960.00 ,1009.76 , ,6510.00 , ,1500.00 , ,720.00
 ,2019-2020,6000.30 ,1392.24 , ,6200.00 , ,1500.00 , , ,25960.00 ,1392.24 , ,6200.00 , ,1500.00 , ,636.00
 ,2018-2019,6667.00 ,1017.85 , ,6200.00 , ,1200.00 , , ,24104.00 ,1017.85 , ,6200.00 , ,1200.00 , ,624.00
 ,2017-2018,6667.00 ,1017.85 , ,6200.00 , ,1200.00 , , ,24104.00 ,1017.85 , ,6200.00 , ,1200.00 , ,624.00
 ,2016-2017,6284.50 ,894.19 , ,5900.00 , ,1200.00 , , ,20377.50 ,894.19 , ,5900.00 , ,1200.00 , ,612.00
 ,2011-2012,5344.00 ,615.46 , ,4260.00 , ,750.00 , , ,14796.00 ,615.46 , ,4260.00 , ,750.00 , ,720.00
 ,2009-2010,5114.00 ,616.00 , ,3825.00 , ,1590.00 , , ,13700.00 ,616.00 , ,3825.00 , ,1590.00 , ,720.00
McMaster University ,2023-2024, , ,11370.00 ,6250.00 ,5120.00 ,1600.00 ,241.79 , , , ,11370.00 ,6250.00 ,5120.00 ,1600.00 ,241.79 ,
 ,2022-2023,6042.60 ,1492.38 , , , , , , ,43116.00 ,1492.38 , , , , , ,
 ,2021-2022,6042.60 ,1352.43 , , , , , , ,37236.60 ,1352.43 , , , , , ,
 ,2020-2021,6042.60 ,1335.20 , , , , , , ,25000.00 ,1207.63 , , , , , ,
 ,2018-2019,6714.30 ,1274.51 , , , , , , ,27976.80 ,1274.51 , , , , , ,
 ,2017-2018,6714.30 ,1274.51 , , , , , , ,27976.80 ,1274.51 , , , , , ,
 ,2016-2017,6329.40 ,1121.40 , , , , , , ,23895.90 ,1121.40 , , , , , ,
 ,2011-2012,5382.00 ,903.00 , , , , , , ,14377.00 ,903.00 , , , , , ,
 ,2009-2010,5150.40 ,921.95 , , , , , , ,15421.50 ,921.95 , , , , , ,
 ,2008-2009,4717.00 ,878.00 , , , , , , ,13725.00 ,878.00 , , , , , ,
 ,2007-2008,4717.00 ,878.00 , , , , , , ,13725.00 ,878.00 , , , , , ,
Nipissing University ,2023-2024, , , ,7595.36 , , ,223.00 ,1415.69 , , , ,7595.36 , , ,223.00 ,1415.69
 ,2022-2023,5780.97 ,1598.64 , , , , , , ,21000.00 ,1598.64 , , , , , ,
 ,2021-2022,5780.97 ,1526.38 , , , , , , ,19325.00 ,1526.38 , , , , , ,
 ,2020-2021,5780.97 ,1457.84 , , , , , , ,19325.00 ,1457.84 , , , , , ,
 ,2019-2020,5780.97 ,1410.70 , , , , , , ,19325.00 ,1410.70 , , , , , ,
 ,2018-2019,6423.30 ,1368.64 , , , , , , ,19325.00 ,1368.64 , , , , , ,
 ,2017-2018,6236.30 ,1335.01 , , , , , , ,19324.00 ,1335.01 , , , , , ,
 ,2016-2017,6054.70 ,1177.50 ,7181.00 ,6031.00 ,1150.00 ,1000.00 , ,1500.00 ,19325.00 ,1177.50 , , , , , ,
 ,2011-2012,5148.00 ,1085.75 ,6685.00 ,5415.00 ,1270.00 ,1000.00 , ,1500.00 ,13500.00 ,1085.75 ,6685.00 ,5415.00 ,1270.00 ,1000.00 , ,1500.00
 ,2009-2010,4930.00 ,1056.25 ,6435.00 ,5165.00 ,1270.00 ,1000.00 , ,1500.00 ,12500.00 ,1056.25 ,6435.00 ,5165.00 ,1270.00 ,1000.00 , ,1500.00
OCAD University ,2023-2024, , , , , ,2000.00 ,979.00 ,18480.00 , , , , , ,2000.00 ,979.00 ,18480.00
 ,2022-2023,6052.40 ,1175.31 , , , ,2000.00 ,979.00 ,18480.00 ,26118.80 ,1175.31 , , , ,2000.00 ,979.00 ,18480.00
 ,2021-2022,6052.40 ,1085.39 , , , ,2000.00 ,979.00 ,18424.00 ,25380.00 ,1085.39 , , , ,2000.00 ,979.00 ,18424.00
 ,2020-2021,6052.40 ,1078.91 , , , ,2000.00 ,979.00 ,18424.00 ,25455.00 ,1078.91 , , , ,2000.00 ,979.00 ,18424.00
 ,2019-2020,6054.40 ,1093.86 , , , ,3020.00 ,979.00 ,18600.00 ,24060.00 ,1093.86 , , , ,3020.00 ,979.00 ,18600.00
 ,2018-2019,6725.00 ,978.40 , , , ,3020.00 ,934.00 ,18600.00 ,22340.00 ,978.40 , , , ,3020.00 ,934.00 ,18600.00
 ,2017-2018,6530.00 ,966.92 , , , ,3020.00 ,1170.00 ,15568.00 ,21320.00 ,966.92 , , , ,3020.00 ,1170.00 ,15568.00
 ,2016-2017,6340.00 ,958.56 , , , ,1500.00 ,896.00 ,12480.00 ,20160.00 ,958.56 , , , ,1500.00 ,896.00 ,12480.00
 ,2015-2016,6160.00 ,891.52 , , , ,800.00 ,800.00 ,9920.00 ,19420.00 ,891.52 , , , ,800.00 ,800.00 ,9920.00
 ,2014-2015,5985.00 ,779.00 , , , ,800.00 ,800.00 ,9920.00 ,18880.00 ,779.00 , , , ,800.00 ,800.00 ,9920.00
 ,2013-2014,5815.00 ,779.00 , , , ,800.00 ,800.00 ,9920.00 ,18355.00 ,779.00 , , , ,800.00 ,800.00 ,9920.00
 ,2012-2013,5650.00 ,758.00 , , , ,1800.00 ,800.00 ,11100.00 ,17190.00 ,758.00 , , , ,1800.00 ,800.00 ,11100.00
 ,2011-2012,5410.00 ,580.00 , , , ,1800.00 ,800.00 ,13200.00 ,15920.00 ,580.00 , , , ,1800.00 ,800.00 ,13200.00
 ,2009-2010,5180.00 ,680.00 , , , ,1800.00 ,800.00 ,13200.00 ,15280.00 ,680.00 , , , ,1800.00 ,800.00 ,13200.00
Ontario Tech University ,2023-2024, , ,14679.00 ,7775.00 ,6299.50 , ,300.01 ,2403.41 , , ,14679.00 ,7775.00 ,6299.50 , ,300.01 ,2403.41
 ,2022-2023,5982.80 ,2111.02 ,13437.50 ,7525.00 ,5912.50 , ,284.64 ,145.02 ,29195.50 ,2111.02 ,13437.50 ,7525.00 ,5912.50 , ,284.64 ,145.02
 ,2021-2022,5982.80 ,2104.36 ,13784.00 ,8025.00 ,5759.00 , ,141.75 ,108.77 ,26541.38 ,2104.36 ,13784.00 ,8025.00 ,5759.00 , ,141.75 ,108.77
 ,2020-2021,5982.80 ,2031.85 ,12900.50 ,7250.00 ,5650.50 , ,141.75 ,119.12 ,24128.54 ,2031.85 ,12900.50 ,7250.00 ,5650.50 , ,141.75 ,119.12
 ,2019-2020,5982.80 ,1996.13 ,12412.50 ,7080.00 ,5332.50 , ,278.00 ,155.41 ,21935.04 ,1996.13 ,12412.50 ,7080.00 ,5332.50 , ,278.00 ,155.41
